"","team","1","2","3","4","5","6"
"1","Kentucky",98.93,91.15,82.18,66.25,43.64,30.36
"2","Hampton",1.07,0.03,0,0,0,0
"3","Cincinnati",52.12,4.88,2.45,0.65,0.02,0
"4","Purdue",47.88,3.94,1.72,0.58,0.09,0.03
"5","West Virginia",65.85,39.6,6.79,2.53,0.63,0.15
"6","Buffalo",34.15,13.76,1.44,0.2,0.01,0
"7","Maryland",65.37,33.75,4.36,1.61,0.39,0.05
"8","Valparaiso",34.63,12.89,1.06,0.1,0,0
"9","Butler",48.09,19.44,7.8,1.74,0.41,0.1
"10","Texas",51.91,22.83,9.73,2.29,0.73,0.2
"11","Notre Dame",89,55.91,31.39,9.81,3.58,1.47
"12","Northeastern",11,1.82,0.07,0.02,0,0
"13","Wichita St.",72.45,37.31,19.3,5.13,1.68,0.57
"14","Indiana",27.55,8.31,2.47,0.37,0.08,0.01
"15","Kansas",85.8,51.83,28.77,8.69,2.97,1.42
"16","New Mexico St.",14.2,2.55,0.47,0.03,0,0
"17","Wisconsin",96.3,83.58,63.6,36.52,18.23,10.83
"18","Coastal Carolina",3.7,0.52,0.01,0,0,0
"19","Oregon",47.95,7.23,2.33,0.32,0.08,0.01
"20","Oklahoma St.",52.05,8.67,2.56,0.35,0.03,0
"21","Arkansas",76.36,31.77,8.17,1.93,0.4,0.15
"22","Wofford",23.64,2.23,0.28,0.01,0,0
"23","North Carolina",82.08,59.58,22.19,8.11,2.63,0.99
"24","Harvard",17.92,6.42,0.86,0.02,0,0
"25","Xavier",61.3,26.95,5.35,1.3,0.23,0.03
"26","Mississippi",38.7,6.92,0.43,0.1,0.02,0.01
"27","Baylor",79.65,59.26,18.36,7.12,2.09,0.8
"28","Georgia St.",20.35,6.87,0.21,0.03,0.02,0
"29","VCU",37.98,3.28,1.34,0.25,0.03,0
"30","Ohio St.",62.02,14.05,7.45,2.53,0.58,0.13
"31","Arizona",98.07,82.49,66.85,41.41,21.43,13.22
"32","Texas Southern",1.93,0.18,0.01,0,0,0
"33","Villanova",96.75,82.49,60.71,35.55,22.47,10.36
"34","Lafayette",3.25,0.25,0.02,0,0,0
"35","North Carolina St.",53.11,9.77,3.97,0.95,0.15,0.01
"36","LSU",46.89,7.49,2.43,0.36,0.05,0
"37","Northern Iowa",85.49,48.44,17.35,5.87,1.97,0.55
"38","Wyoming",14.51,1.77,0.15,0.02,0,0
"39","Louisville",80.86,45.97,15.02,5.41,1.95,0.47
"40","UC Irvine",19.14,3.82,0.35,0.02,0,0
"41","Providence",59.58,22.5,5.63,1.56,0.55,0.12
"42","Dayton",40.42,9.34,0.68,0.14,0,0
"43","Oklahoma",90.54,66.1,25.99,11.75,5.15,1.57
"44","Albany",9.46,2.06,0.04,0.02,0,0
"45","Michigan St.",63.67,17.56,8.97,3.18,1.23,0.23
"46","Georgia",36.33,4.5,1.62,0.51,0.15,0.01
"47","Virginia",95.65,77.27,57,34.66,21.32,10.1
"48","Belmont",4.35,0.67,0.07,0,0,0
"49","Duke",94.76,74.38,47.38,28.2,14.54,5.81
"50","Robert Morris",5.24,0.32,0.01,0,0,0
"51","San Diego St.",57.19,15.79,5.91,1.52,0.32,0.03
"52","St. John's",42.81,9.51,2.97,0.56,0.12,0
"53","Utah",76.65,54.06,28.67,15.1,6.44,2.16
"54","Stephen F. Austin",23.35,9.25,2.34,0.38,0.07,0
"55","Georgetown",85.86,34.93,12.51,4.42,1.13,0.25
"56","Eastern Washingon",14.14,1.76,0.21,0.01,0,0
"57","SMU",61.99,26.57,8.94,3.25,0.9,0.25
"58","UCLA",38.01,11.83,1.89,0.58,0.09,0.02
"59","Iowa St.",88.52,59.52,27.04,12.63,4.82,1.49
"60","UAB",11.48,2.08,0.05,0.01,0,0
"61","Iowa",56.38,17.15,7.85,2.84,0.85,0.19
"62","Davidson",43.62,10.85,4.28,1.33,0.38,0.04
"63","Gonzaga",94.43,71.23,49.87,29.17,15.35,5.81
"64","North Dakota",5.57,0.77,0.08,0,0,0
